ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Per1_CT0/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT4/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT8/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT12/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT16/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_CT20/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per1_KO/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	Per_Input/ Tag Count in given bp (9923859.0 Total, normalization factor = 1.01, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
1	chr11	98636511	98637140	98636715	64	promoter-TSS (uc007lhh.1)	promoter-TSS (NM_145434)	-269	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	39.3	31.24	15.12	116.89	97.74	144.1	5.04	24.18	1-Per1_n3R16	1	burg	1	26.091503268	46.1987822942	16.8883604049	74.065	0.596370359	0.5066748832	0.647903243	0.0168625687	0.0090756077	0.0847967928
2	chr2	167828951	167829430	167829165	79	intron (uc008oal.1, intron 2 of 21)	intron (NM_001080708, intron 2 of 21)	-6839	uc008oan.1	AK027991	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110062I07 product:unclassifiable, full insert sequence.	42.32	33.25	13.1	97.74	50.38	115.88	3.02	8.06	2-Per1_n3R16	0	burg	1	25.9220779221	28.6456403461	17.7090752671	58.7783333333	0.3659544312	0.225055416	0.6157003183	0.1286892064	0.0221867245	0.2072988533
3	chr11	68908501	68908880	68908655	62	Intergenic	CpG	-4970	uc007jph.2	Per1	period circadian protein homolog 1	23.18	11.08	7.05	85.65	107.82	93.71	3.02	10.08	3-Per1_n3R16	0	default	1	24	47.5269795584	16.5632633645	54.7483333333	0.783571761	0.7354765967	0.7629362301	0.0010207342	0.0052687873	0.0492282477
4	chr11	118151361	118151741	118151515	89	promoter-TSS (uc011yim.1)	promoter-TSS (NM_001033528)	7	uc011yim.1	Usp36	ubiquitin specific peptidase 36	21.16	13.1	13.1	102.78	71.54	82.63	4.03	4.03	4-Per1_n3R16	1	burg	1	23.9041916168	36.9345636317	15.6629808901	50.7183333333	0.6060304587	0.5184816717	0.7139113403	0.0151210487	0.0087358263	0.0816220874
5	chr4	124370821	124371280	124371045	78	promoter-TSS (uc008uqu.1)	promoter-TSS (NM_026031)	-252	uc008uqu.1	Utp11l	probable U3 small nucleolar RNA-associated	18.14	7.05	9.07	95.73	51.39	76.58	8.06	17.13	5-Per1_n3R16	1	default	1	24	31.9370096916	15.6514944128	42.9933333333	0.4996624092	0.3884762779	0.7967343448	0.0443286085	0.0134280091	0.1254629047
6	chr12	113334441	113334871	113334695	57	Intergenic	L1M5|LINE|L1	-10238	uc007pek.1	Aspg	60 kDa lysophospholipase	16.12	17.13	5.04	99.76	49.38	67.51	7.05	23.18	6-Per1_n3R16	1	burg	1	23.6213017751	29.7833616289	15.3158491558	42.49	0.436406552	0.3111635635	0.7861245246	0.0757437339	0.0169733193	0.1585880616
7	chr4	147829641	147830170	147829945	67	intron (uc008vur.2, intron 5 of 57)	MIR|SINE|MIR	7214	uc008vur.2	Mtor	serine/threonine-protein kinase mTOR	19.15	16.12	13.1	88.68	45.35	70.54	5.04	16.12	7-Per1_n3R16	1	default	1	24	25.2699684967	15.4707598346	42.1566666667	0.4339784478	0.3081958806	0.6869372073	0.0772232999	0.0170533188	0.1593355266
8	chr11	98644481	98645140	98644805	49	Intergenic	Intergenic	-8254	uc007lhh.1	Nr1d1	nuclear receptor subfamily 1 group D member 1	30.23	11.08	7.05	81.62	46.35	68.52	6.05	18.14	8-Per1_n3R16	1	default	1	24	25.5326005577	16.4362654896	40.8083333333	0.4751418206	0.3585066696	0.6784731331	0.0549779907	0.01475959	0.1379043616
9	chr2	118336141	118336680	118336365	42	Intergenic	Intergenic	-30978	uc008lsa.1	Srp14	signal recognition particle 14 kDa protein	22.17	14.11	10.08	56.43	64.49	76.58	2.02	5.04	9-Per1_n3R16	1	mle	1	25.106918239	28.0666158757	17.1041169729	40.6433333333	0.7404755785	0.6828034848	0.6422868565	0.0023110112	0.0055369037	0.0517333589
10	chr11	68908231	68908471	68908380	57	Intergenic	Intergenic	-5309	uc007jph.2	Per1	period circadian protein homolog 1	16.12	8.06	5.04	67.51	59.45	65.5	3.02	11.08	10-Per1_n3R16	0	burg	1	23.7619047619	29.5824306098	16.3903919685	36.9466666667	0.6843780036	0.6142397822	0.7446880024	0.0055751002	0.0061289182	0.0572647714
11	chr10	62486681	62487131	62486945	47	promoter-TSS (uc007fjq.2)	promoter-TSS (NM_001079824)	-309	uc007fjo.1	Hnrnph3	heterogeneous nuclear ribonucleoprotein H3	21.16	19.15	7.05	59.45	44.34	69.53	0	1.01	11-Per1_n3R16	1	burg	1	25.9220779221	20.7412003029	16.9979236047	36.78	0.5251205871	0.4195918287	0.6162422289	0.0350449174	0.0121450027	0.1134752962
12	chr7	52960021	52960541	52960305	34	promoter-TSS (uc009gws.2)	promoter-TSS (NM_016974)	-336	uc009gws.2	Dbp	D site-binding protein	15.12	11.08	9.07	61.47	57.44	63.48	5.04	9.07	12-Per1_n3R16	0	default	1	24	26.2899689883	16.3384965914	36.2766666667	0.6937322194	0.6256727125	0.6794587908	0.0048691808	0.0060319703	0.056358951
13	chr9	119841391	119841910	119841745	51	intron (uc009sbq.1, intron 3 of 8)	intron (NM_028976, intron 3 of 8)	5026	uc009sbq.1	Gorasp1	Golgi reassembly-stacking protein 1	16.12	10.08	8.06	70.54	47.36	64.49	4.03	12.09	13-Per1_n3R16	0	mle	1	24.490797546	24.7802616606	15.9815878024	36.1083333333	0.5589331716	0.4609183209	0.7134006321	0.0251344731	0.0107074145	0.1000433732
14	chr17	29183061	29183510	29183265	43	Intergenic	Intergenic	13680	uc008bsd.2	Srsf3	serine/arginine-rich splicing factor 3	19.15	11.08	4.03	66.51	50.38	49.38	0	6.05	14-Per1_n3R16	0	burg	1	24.0481927711	23.8735980314	15.8952604891	33.4216666667	0.6079088701	0.5207775079	0.6913984789	0.0147993138	0.0086689454	0.0809971951
